order_time,original_product_id,age,price,age_range,prefecture,area,tab,big_category,middle_category,color,favorite,review
2012/07/09 0:00:00,91245,27,1886,25歳-29歳,富山県,中部,レディース,シューズ,サンダル,ブラック,3389,3.49
2012/10/28 0:00:00,91231,25,2362,25歳-29歳,愛知県,中部,レディース,シューズ,パンプス,ブラック,11881,3.52
2017/01/02 0:00:00,1471502,21,2204,20歳-24歳,福島県,東北,レディース,トップス,ニット・セーター,FREE(フリーサイズ),162,0
2016/01/26 0:00:00,898728,25,3240,25歳-29歳,東京都,関東,レディース,アウター,ベスト,ホワイト,519,4.6
2012/10/21 0:00:00,124021,47,2839,45歳-49歳,,,レディース,シューズ,パンプス,L,59,5
2016/05/19 0:00:00,1123192,45,1360,45歳-49歳,福岡県,九州,メンズ,トップス,ポロシャツ,ブラック,438,1.5
2015/11/08 0:00:00,537433,19,780,15歳-19歳,千葉県,関東,レディース,財布,長財布,キャメル,3211,3.79
2014/06/13 0:00:00,499437,25,2389,25歳-29歳,京都府,近畿,レディース,シューズ,ウェッジソール,【38】(23.5〜24.0cm),3905,4.3
2014/05/04 0:00:00,453007,26,1250,25歳-29歳,神奈川県,関東,不明,,,M(001),5980,4.04
2015/09/24 0:00:00,827280,36,2960,35歳-39歳,千葉県,関東,レディース,シューズ,スリッポン,M,186,0
2014/03/07 0:00:00,113998,26,858,25歳-29歳,北海道,北海道,レディース,シューズ,ムートンブーツ,ブラック,54574,4.12
2015/06/20 0:00:00,748468,34,0,30歳-34歳,神奈川県,関東,メンズ,シューズ,スリッポン,42【26.0cm】,613,4.58
2016/07/19 0:00:00,791758,21,3053,20歳-24歳,東京都,関東,レディース,水着,ビキニ,XL(11号),1654,4
2014/07/05 0:00:00,532578,35,1952,35歳-39歳,北海道,北海道,レディース,ワンピース・ドレス,ドレス,ホワイト(予約販売),177,1.66
2015/07/05 0:00:00,717961,27,1622,25歳-29歳,鹿児島県,九州,不明,,,-,262,4
2016/01/04 0:00:00,898674,24,701,20歳-24歳,愛知県,中部,レディース,その他,福袋,フリーサイズ,28,5
2016/08/12 0:00:00,922165,19,495,15歳-19歳,京都府,近畿,レディース,アクセサリー,ネックレス,,521,5
2016/12/05 0:00:00,1431133,25,727,25歳-29歳,愛知県,中部,キッズ,帽子,ニット帽,-,33,0
2013/07/01 0:00:00,132479,25,753,25歳-29歳,神奈川県,関東,レディース,インナー,シリコンブラ,1.ベージュ,5798,3.7
2016/08/30 0:00:00,934603,22,1989,20歳-24歳,神奈川県,関東,レディース,スカート,ひざ丈スカート,ブルー,39044,4.02
2016/07/14 0:00:00,873544,18,2300,15歳-19歳,福岡県,九州,レディース,パンツ,スキニーパンツ,ホワイト,1058,3.8
2015/01/05 0:00:00,301136,25,1354,25歳-29歳,千葉県,関東,レディース,パンツ,ショートパンツ,M(001),28219,3.86
2014/08/21 0:00:00,197125,26,1610,25歳-29歳,大阪府,近畿,不明,,,ブラック,7062,3.26
2016/11/09 0:00:00,1336786,49,1137,45歳-49歳,福岡県,九州,レディース,インナー,ブラ&ショーツセット,ネイビー【即納】,5639,3.88
2014/05/11 0:00:00,473360,27,980,25歳-29歳,宮城県,東北,レディース,シューズ,サンダル,L,89,4.44
2013/05/23 0:00:00,208707,25,1210,25歳-29歳,新潟県,中部,レディース,トップス,タンクトップ,M(001),992,4.42
2012/09/12 0:00:00,119544,26,1696,25歳-29歳,大阪府,近畿,レディース,トップス,パーカ,,55,0
2015/09/10 0:00:00,751920,18,1980,15歳-19歳,神奈川県,関東,レディース,シューズ,ウェッジソール,ブラック,71664,3.54
2014/01/24 0:00:00,372403,27,2684,25歳-29歳,埼玉県,関東,レディース,シューズ,フラットシューズ,レッド,7730,4.33
2015/08/14 0:00:00,223659,20,1337,20歳-24歳,大阪府,近畿,レディース,小物,サングラス,サングラス,4940,4.2
2014/10/16 0:00:00,26192,24,2555,20歳-24歳,広島県,中国,レディース,シューズ,パンプス,ヌバックベージュ,12498,4.22
2015/07/05 0:00:00,732259,48,1330,45歳-49歳,愛知県,中部,レディース,トップス,カーディガン,A【袖レース】,11048,3.93
2012/10/18 0:00:00,121531,24,1229,20歳-24歳,茨城県,関東,レディース,帽子,ニット帽,フリーサイズ(007),122,3.66
2016/05/25 0:00:00,972745,34,2677,30歳-34歳,千葉県,関東,メンズ,シューズ,スニーカー,24.5cm,2611,3.57
2015/09/17 0:00:00,584034,42,1965,40歳-44歳,鹿児島県,九州,レディース,パンツ,ショートパンツ,-,13598,3.8
2016/11/20 0:00:00,1351284,37,1520,35歳-39歳,東京都,関東,キッズ,パンツ,パンツ全般,ネイビー,105,1
2014/05/29 0:00:00,481506,25,2760,25歳-29歳,新潟県,中部,レディース,パンツ,パンツ全般,XXL,54,1
2013/07/16 0:00:00,272309,22,1955,20歳-24歳,東京都,関東,レディース,水着,その他水着,S,11286,3.5
2016/04/29 0:00:00,294299,32,1580,30歳-34歳,埼玉県,関東,レディース,シューズ,パンプス,ブラック,94666,3.99
2016/12/06 0:00:00,929353,41,2990,40歳-44歳,北海道,北海道,レディース,スカート,ひざ丈スカート,F,331,4.5
2016/07/03 0:00:00,1115937,34,5852,30歳-34歳,東京都,関東,レディース,バッグ,リュック,F(フリーサイズ)(020),83,0
2014/04/04 0:00:00,406453,39,1343,35歳-39歳,鹿児島県,九州,レディース,ワンピース・ドレス,ワンピース,ホワイト,2006,2.33
2016/07/01 0:00:00,1204494,29,1186,25歳-29歳,広島県,中国,レディース,インナー,ブラ&ショーツセット,ピンク,335,0
2015/07/18 0:00:00,728125,49,611,45歳-49歳,愛知県,中部,レディース,トップス,タンクトップ,Ａ．キャミ,758,3.9
2017/02/05 0:00:00,1486289,25,1787,25歳-29歳,神奈川県,関東,レディース,パンツ,パンツ全般,［ONE SIZE］,344,2
2016/12/14 0:00:00,1309994,44,1409,40歳-44歳,群馬県,関東,レディース,トップス,ニット・セーター,【ONE SIZE】,4749,4.16
2015/08/26 0:00:00,743011,28,1242,25歳-29歳,栃木県,関東,レディース,バッグ,ポーチ,クリア,11761,4
2013/04/22 0:00:00,136553,27,2362,25歳-29歳,宮崎県,九州,レディース,ワンピース・ドレス,ワンピース,M,1910,2.82
2016/04/14 0:00:00,857034,29,1280,25歳-29歳,北海道,北海道,レディース,トップス,ニット・セーター,白,37340,3.39
2016/02/28 0:00:00,638862,53,1658,50歳-54歳,東京都,関東,レディース,パンツ,パンツ全般,Mサイズ,115398,4.06
2015/07/06 0:00:00,608930,不明,500,不明,,,レディース,アクセサリー,ピアス,フリー,2441,3.73
2013/10/04 0:00:00,227808,27,1611,25歳-29歳,宮城県,東北,レディース,パンツ,パンツ全般,Mサイズ,30137,4.08
2017/01/04 0:00:00,1384903,58,903,55歳-59歳,東京都,関東,レディース,ワンピース・ドレス,ワンピース,[4]L,67,0
2016/04/09 0:00:00,827066,20,990,20歳-24歳,静岡県,中部,レディース,シューズ,スリッポン,ホワイト,10994,4.07
2016/12/06 0:00:00,1257505,19,1990,15歳-19歳,佐賀県,九州,レディース,ワンピース・ドレス,キャミワンピース,4.キャメルM【入荷済】,67281,3.93
2016/11/04 0:00:00,1363838,24,2831,20歳-24歳,福岡県,九州,レディース,アウター,チェスターコート,グレージュ,8301,3.87
2015/10/03 0:00:00,827276,18,3100,15歳-19歳,兵庫県,近畿,レディース,トップス,ニット・セーター,F,756,3
2016/01/30 0:00:00,495003,20,1770,20歳-24歳,東京都,関東,レディース,パンツ,ショートパンツ,ダークブルー,69268,3.34
2016/02/14 0:00:00,838878,17,879,15歳-19歳,茨城県,関東,レディース,小物,その他小物,タイプ【2】,41990,4.18
2015/01/28 0:00:00,537124,26,498,25歳-29歳,神奈川県,関東,レディース,バッグ,ポーチ,ブラック,2056,4.19
2016/04/18 0:00:00,977041,17,1450,15歳-19歳,愛知県,中部,レディース,カラーコンタクト,1日タイプ,度数：±0.00,635,2.5
